id,timestamp,length,recieved
X35:40034.790514,0.002004,40034.790552
X36:40034.832700,0.134291,40034.832742
X59:40036.178836,0.118652,40036.178893
X61:40036.195319,0.071455,40036.195344
X62:40036.233354,0.136671,40036.233405
X81:40037.056999,0.008587,40037.057032
X82:40037.059993,0.011428,40037.060017
X521:40061.948016,0.038001,40061.948035
X522:40061.981832,0.175398,40061.981920
X531:40062.493865,0.090252,40062.501057
X563:40064.239149,0.088194,40064.262038
X564:40064.248535,0.005991,40064.262072
X565:40064.262568,0.098587,40064.262597
X566:40064.296093,0.030925,40064.296127
X575:40064.744866,0.052500,40064.747037
X576:40064.745903,0.059158,40064.747074
X577:40064.799598,0.112858,40064.799628
X579:40064.855793,0.031218,40064.855817
X582:40065.035515,0.010045,40065.054043
X584:40065.107525,0.027035,40065.132029
X585:40065.115806,0.024330,40065.132061
X586:40065.129073,0.006944,40065.132072
X587:40065.212663,0.007830,40065.212685
X588:40065.213425,0.037810,40065.213449
X876:40081.838017,0.079054,40081.838112
X889:40082.599754,0.005995,40082.599788
X891:40082.656946,0.016779,40082.656975
X892:40082.661353,0.009366,40082.661375
X896:40082.849400,0.071001,40082.881042
X897:40082.887457,0.017305,40082.887481
X898:40082.942304,0.018187,40082.942333
X902:40083.045184,0.043277,40083.045215
X903:40083.051110,0.016849,40083.051133
X904:40083.085399,0.099700,40083.085420
X905:40083.093361,0.038139,40083.093401
X907:40083.172612,0.006937,40083.172640
X913:40083.493686,0.120802,40083.493710
X921:40083.799291,0.000884,40083.799321
X922:40083.800354,0.090784,40083.800379
X923:40083.813070,0.094753,40083.813092
X924:40083.821930,0.059096,40083.821951
X942:40084.734142,0.030455,40084.734183
X943:40084.740558,0.036131,40084.740589
X959:40085.500940,0.002637,40085.502055
X962:40085.795585,0.046752,40085.795613
X963:40085.848644,0.029446,40085.848677
X1059:40090.976031,0.029586,40090.976057
X1192:40098.222948,0.030392,40098.222973
X1217:40099.124835,0.075114,40099.124879
